"Name","Max","TB2_SN3.report","Lineage"
"Bartonella bovis","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Bartonellaceae>Bartonella"
"Phyllobacterium zundukense","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Phyllobacterium"
"Phyllobacterium sp. 628","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Phyllobacterium>unclassified&nbsp;Phyllobacterium"
"Methylocella tundrae","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Beijerinckiaceae>Methylocella"
"Rhizobium sp. 11515TR","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>unclassified&nbsp;Rhizobium"
"Maritalea myrionectae","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Devosiaceae>Maritalea"
"Sulfitobacter sp. SK012","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter>unclassified&nbsp;Sulfitobacter"
"Roseovarius indicus","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Roseovarius"
"Sphingobium cloacae","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Sphingosinicella flava","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Sphingosinicellaceae>Sphingosinicella"
"Acetobacter aceti","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae>Acetobacter>Acetobacter&nbsp;subgen.&nbsp;Acetobacter"
"Vibrio sp. VB16","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>unclassified&nbsp;Vibrio"
"Vibrio sp. CB1-14","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>unclassified&nbsp;Vibrio"
"Vibrio metschnikovii","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Vibrio fortis","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Vibrio metoecus","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Vibrio pomeroyi","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Vibrio ishigakensis","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Vibrio neonatus","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Vibrio kanaloae","1","1","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
